sentiment,message,tweetid,text
0,"Talking science, festivals, climate change and Tinder (!) with @DrGaryKerr today @SalfordUni @SalfordUniPress #media https://t.co/4X8p1VItFq",811690898073485313,"Talking science, festivals, climate change and Tinder (!) with DrGaryKerr today SalfordUni SalfordUniPress media "
0,Than turning everyone against those who don't understand. If you were greeted the way people who don't believe in climate change are (4),870663012016848896,Than turning everyone against those who don't understand. If you were greeted the way people who don't believe in climate change are (4)
0,"RT @amietrips: Making a thread on global warming facts, yall need to know",806740082988175360,"amietrips: Making a thread on global warming facts, yall need to know"
0,Here's a great pic of me on CBS spilling some intense tea on climate change and how lasers might have the potentialâ€¦ https://t.co/rmrlWmzOlU,956988827289219072,Here's a great pic of me on CBS spilling some intense tea on climate change and how lasers might have the potentialâ€¦ 
0,"@THE_James_Champ @kromatuss guys, snow isn't real. Government fakes it to promote global warming. Snow scary, warm good.",817748341815709697,"THE_James_Champ kromatuss guys, snow isn't real. Government fakes it to promote global warming. Snow scary, warm good."
0,45 we are going to fix it no tell but meal on wheel children lunchs woman health care climate change ( hoax) EPA not all of these needed,849690716628320257,45 we are going to fix it no tell but meal on wheel children lunchs woman health care climate change ( hoax) EPA not all of these needed
0,"Texans don't care about climate change.... right?
The truth? Watch this episode to find out.
https://t.co/2SOAN8150Q
#GlobalWeirding #MyKTTZ",852206115769241602,"Texans don't care about climate change.... right?
The truth? Watch this episode to find out.

GlobalWeirding MyKTTZ"
0,@LBC climate change protesters are causing traffic chaos and causing car journeys to take longer? Isn't this causing more pollution? Ironic,799955534514442240,LBC climate change protesters are causing traffic chaos and causing car journeys to take longer? Isn't this causing more pollution? Ironic
0,"@KADYTheGREAT Aww that's no fair! I sent him, but global warming ��",883596892256571392,"KADYTheGREAT Aww that's no fair! I sent him, but global warming ��"
0,"blajar itu pake buku, buku itu dari kertas, kertas dari kayu. mari kita dukung anti global warming dengan tidak blajar menggunakan buku.hehe",861883780197306368,"blajar itu pake buku, buku itu dari kertas, kertas dari kayu. mari kita dukung anti global warming dengan tidak blajar menggunakan buku.hehe"
